GA,draft,draft_pick,draft_round,inactive,matches,player,year
False,Supplemental Draft,0.2068965517,1,True,264,Chris Armas,1996
False,Supplemental Draft,0.3103448276,1,True,135,Paul Caligiuri,1996
False,Supplemental Draft,0,1,True,26,Nicola Caricola,1996
False,Supplemental Draft,0.0689655172,1,True,0,Roberto González,1996
False,Supplemental Draft,0.2413793103,1,True,104,Mario Gori,1996
False,Supplemental Draft,0.1379310345,1,True,12,Pat Harrington,1996
False,Supplemental Draft,0.275862069,1,True,12,Dusty Hudock,1996
False,Supplemental Draft,0.1724137931,1,True,54,Alberto Naveda,1996
False,Supplemental Draft,0.0344827586,1,True,27,Edmundo Rodríguez,1996
False,Supplemental Draft,0.1034482759,1,True,62,Evans Wise,1996
False,Supplemental Draft,0.5172413793,2,True,144,Welton,1996
False,Supplemental Draft,0.5862068966,2,True,23,Chad Ashton,1996
False,Supplemental Draft,0.3793103448,2,True,1,Ken Hesse,1996
False,Supplemental Draft,0.4827586207,2,True,0,David Moxom,1996
False,Supplemental Draft,0.4137931034,2,True,0,Michael Robles,1996
False,Supplemental Draft,0.3448275862,2,True,0,Juninho Sarafim,1996
False,Supplemental Draft,0.6206896552,2,True,17,Richard Sharpe,1996
False,Supplemental Draft,0.6551724138,2,True,67,Rob Smith,1996
False,Supplemental Draft,0.5517241379,2,True,151,David Vaudreuil,1996
False,Supplemental Draft,0.4482758621,2,True,0,Vagner,1996
False,Supplemental Draft,0.8965517241,3,True,0,Charles Adair,1996
False,Supplemental Draft,0.724137931,3,True,1,Danny Barber,1996
False,Supplemental Draft,1,3,True,0,Kevin East,1996
False,Supplemental Draft,0.8620689655,3,True,140,Zak Ibsen,1996
False,Supplemental Draft,0.7931034483,3,True,0,Boniface Okafor,1996
False,Supplemental Draft,0.9310344828,3,True,58,Jonny Walker,1996
False,Supplemental Draft,0.7586206897,3,True,0,James Woolridge,1996
False,Supplemental Draft,0.8275862069,3,True,83,Paul Wright,1996
False,Supplemental Draft,0.6896551724,3,True,0,Túlio,1996
False,Inaugural Draft,0.0440251572,1,True,166,Paul Bravo,1996
False,Inaugural Draft,0.0314465409,1,True,284,Mark Chung,1996
False,Inaugural Draft,0.0566037736,1,True,150,Raúl Díaz Arce,1996
False,Inaugural Draft,0.0377358491,1,True,123,Mark Dougherty,1996
False,Inaugural Draft,0.0125786164,1,True,156,Ted Eck,1996
False,Inaugural Draft,0.0251572327,1,True,23,Iain Fraser,1996
False,Inaugural Draft,0.0188679245,1,True,260,Robin Fraser,1996
False,Inaugural Draft,0.0062893082,1,True,29,Jean Harbor,1996
False,Inaugural Draft,0.0503144654,1,True,32,Matt Knowles,1996
False,Inaugural Draft,0,1,True,220,Brian McBride,1996
False,Inaugural Draft,0.106918239,2,True,15,Altimont Butler,1996
False,Inaugural Draft,0.1132075472,2,True,129,Troy Dayak,1996
False,Inaugural Draft,0.0691823899,2,True,31,Denis Hamlett,1996
False,Inaugural Draft,0.1006289308,2,True,7,Peter Hattrup,1996
False,Inaugural Draft,0.0943396226,2,True,0,Peter Isaacs,1996
False,Inaugural Draft,0.0817610063,2,True,106,David Kramer,1996
False,Inaugural Draft,0.1194968553,2,True,77,Shawn Medved,1996
False,Inaugural Draft,0.0754716981,2,True,87,Tom Soehn,1996
False,Inaugural Draft,0.0628930818,2,True,29,Mark Watson,1996
False,Inaugural Draft,0.0880503145,2,True,21,Peter Woodring,1996
False,Inaugural Draft,0.1572327044,3,True,111,Sean Bowers,1996
False,Inaugural Draft,0.1635220126,3,True,19,John Diffley,1996
False,Inaugural Draft,0.1823899371,3,True,34,Erik Imler,1996
False,Inaugural Draft,0.1383647799,3,True,92,Lawrence Lozzano,1996
False,Inaugural Draft,0.1698113208,3,True,102,Tim Martin,1996
False,Inaugural Draft,0.1446540881,3,True,107,Jorge Salcedo,1996
False,Inaugural Draft,0.1257861635,3,True,75,Billy Thompson,1996
False,Inaugural Draft,0.1320754717,3,True,153,Steve Trittschuh,1996
False,Inaugural Draft,0.1761006289,3,True,184,Peter Vermes,1996
False,Inaugural Draft,0.1509433962,3,True,1,Bojan Vučković,1996
False,Inaugural Draft,0.1949685535,4,True,37,Brian Bates,1996
False,Inaugural Draft,0.1886792453,4,True,221,Mike Clark,1996
False,Inaugural Draft,0.2201257862,4,True,15,Eric Eichmann,1996
False,Inaugural Draft,0.2075471698,4,True,13,John Garvey,1996
False,Inaugural Draft,0.2327044025,4,True,64,Rhett Harty,1996
False,Inaugural Draft,0.2012578616,4,True,77,Brian Haynes,1996
False,Inaugural Draft,0.2264150943,4,True,174,Ivan McKinley,1996
False,Inaugural Draft,0.213836478,4,True,42,Marquis White,1996
False,Inaugural Draft,0.2452830189,4,True,216,Richie Williams,1996
False,Inaugural Draft,0.2389937107,4,True,36,Jeff Zaun,1996
False,Inaugural Draft,0.2830188679,5,True,89,Jeff Causey,1996
False,Inaugural Draft,0.2767295597,5,True,162,Ted Chronopoulos,1996
False,Inaugural Draft,0.2578616352,5,True,4,Troy Edwards,1996
False,Inaugural Draft,0.2955974843,5,True,4,Paul Holocher,1996
False,Inaugural Draft,0.2641509434,5,True,305,Jason Kreis,1996
False,Inaugural Draft,0.3081761006,5,True,2,Thor Lee,1996
False,Inaugural Draft,0.251572327,5,True,108,Bo Oshoniyi,1996
False,Inaugural Draft,0.2704402516,5,True,121,Mark Semioli,1996
False,Inaugural Draft,0.2893081761,5,True,17,Diego Viera,1996
False,Inaugural Draft,0.3018867925,5,True,124,A.J. Wood,1996
False,Inaugural Draft,0.3396226415,6,True,10,Yari Allnutt,1996
False,Inaugural Draft,0.358490566,6,True,112,Jeff Baicher,1996
False,Inaugural Draft,0.320754717,6,True,45,Scott Cannon,1996
False,Inaugural Draft,0.3270440252,6,True,92,Mark Dodd,1996
False,Inaugural Draft,0.3647798742,6,True,15,Ted Gillen,1996
False,Inaugural Draft,0.3710691824,6,True,214,Brian Kamler,1996
False,Inaugural Draft,0.3333333333,6,True,0,Joey Kirk,1996
False,Inaugural Draft,0.3459119497,6,True,13,Tommy Reasoner,1996
False,Inaugural Draft,0.3144654088,6,True,6,Brandon Ward,1996
False,Inaugural Draft,0.3522012579,6,True,88,Frank Yallop,1996
False,Inaugural Draft,0.4213836478,7,True,0,Jeff Betts,1996
False,Inaugural Draft,0.4150943396,7,True,203,Frankie Hejduk,1996
False,Inaugural Draft,0.3962264151,7,True,104,Harut Karapetyan,1996
False,Inaugural Draft,0.3836477987,7,True,103,Matt Kmosko,1996
False,Inaugural Draft,0.3773584906,7,True,53,Janusz Michallik,1996
False,Inaugural Draft,0.4339622642,7,True,0,Mile Milovac,1996
